Results.reception.time,MD5.hash.of.participant.s.IP.address,Controller.name,Order.number.of.item,Inner.element.number,Label,Latin.Square.Group,PennElementType,PennElementName,Parameter,Value,EventTime,native,german,id,ITEM,CONDITION,RESPONSE,Comments
1712143388,570260f06ffa49afb7bdc797a92fea1b,PennController,4,0,instructions,NULL,PennController,2,_Trial_,Start,1712142775784,undefined,undefined,undefined,NULL,NA,,
1712143388,570260f06ffa49afb7bdc797a92fea1b,PennController,4,0,instructions,NULL,PennController,2,_Header_,Start,1712142775784,undefined,undefined,undefined,NULL,NA,,
1712143388,570260f06ffa49afb7bdc797a92fea1b,PennController,4,0,instructions,NULL,PennController,2,_Header_,End,1712142775785,undefined,undefined,undefined,NULL,NA,,
1712143388,570260f06ffa49afb7bdc797a92fea1b,PennController,4,0,instructions,NULL,PennController,2,_Trial_,End,1712142829057,undefined,undefined,undefined,NULL,NA,,
1712143388,570260f06ffa49afb7bdc797a92fea1b,PennController,40,0,experiment-filler,NULL,PennController,39,_Trial_,Start,1712142829062,undefined,undefined,undefined,116,100,undefined,NULL
1712143388,570260f06ffa49afb7bdc797a92fea1b,PennController,40,0,experiment-filler,NULL,PennController,39,_Header_,Start,1712142829062,undefined,undefined,undefined,116,100,undefined,NULL
1712143388,570260f06ffa49afb7bdc797a92fea1b,PennController,40,0,experiment-filler,NULL,PennController,39,_Header_,End,1712142829062,undefined,undefined,undefined,116,100,undefined,NULL
1712143388,570260f06ffa49afb7bdc797a92fea1b,PennController,40,0,experiment-filler,NULL,TextInput,answer,First,,1712142837898,undefined,undefined,undefined,116,100,undefined,Shift
1712143388,570260f06ffa49afb7bdc797a92fea1b,PennController,40,0,experiment-filler,NULL,TextInput,answer,EnterReturn,I don't know,1712142845271,undefined,undefined,undefined,116,100,undefined,NULL
1712143388,570260f06ffa49afb7bdc797a92fea1b,PennController,40,0,experiment-filler,NULL,TextInput,answer,Final,I don't know,1712142845273,undefined,undefined,undefined,116,100,undefined,NULL
1712143388,570260f06ffa49afb7bdc797a92fea1b,PennController,40,0,experiment-filler,NULL,PennController,39,_Trial_,End,1712142845273,undefined,undefined,undefined,116,100,undefined,NULL
