Results.reception.time,MD5.hash.of.participant.s.IP.address,Controller.name,Order.number.of.item,Inner.element.number,Label,Latin.Square.Group,PennElementType,PennElementName,Parameter,Value,EventTime,native,german,id,ITEM,CONDITION,RT,Reading.time,Newline.,Sentence..or.sentence.MD5.,Comments
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,1,0,instructions,NULL,PennController,0,_Trial_,Start,1712143397586,undefined,undefined,undefined,NULL,,,,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,1,0,instructions,NULL,PennController,0,_Header_,Start,1712143397586,undefined,undefined,undefined,NULL,,,,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,1,0,instructions,NULL,PennController,0,_Header_,End,1712143397586,undefined,undefined,undefined,NULL,,,,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,1,0,instructions,NULL,PennController,0,_Trial_,End,1712143505950,undefined,undefined,undefined,NULL,,,,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,3,0,participants,NULL,PennController,1,_Trial_,Start,1712143505954,Russian,no,PB24,NULL,,,,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,3,0,participants,NULL,PennController,1,_Header_,Start,1712143505954,Russian,no,PB24,NULL,,,,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,3,0,participants,NULL,PennController,1,_Header_,End,1712143505954,Russian,no,PB24,NULL,,,,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,3,0,participants,NULL,TextInput,input_ID,First,,1712143518662,Russian,no,PB24,Shift,,,,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,3,0,participants,NULL,TextInput,input_ID,EnterReturn,PB24,1712143536030,Russian,no,PB24,NULL,,,,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,3,0,participants,NULL,Scale,input_german,Choice,no,1712143538780,Russian,no,PB24,NULL,,,,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,3,0,participants,NULL,TextInput,input_native,First,,1712143542560,Russian,no,PB24,Shift,,,,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,3,0,participants,NULL,TextInput,input_native,EnterReturn,Russian,1712143546409,Russian,no,PB24,NULL,,,,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,3,0,participants,NULL,TextInput,input_ID,Final,PB24,1712143550032,Russian,no,PB24,NULL,,,,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,3,0,participants,NULL,TextInput,input_native,Final,Russian,1712143550032,Russian,no,PB24,NULL,,,,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,3,0,participants,NULL,PennController,1,_Trial_,End,1712143550032,Russian,no,PB24,NULL,,,,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,5,0,experiment,NULL,PennController,4,_Trial_,Start,1712143550034,Russian,no,PB24,2,plausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,5,0,experiment,NULL,PennController,4,_Header_,Start,1712143550034,Russian,no,PB24,2,plausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,5,0,experiment,NULL,PennController,4,_Header_,End,1712143550034,Russian,no,PB24,2,plausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,5,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,1,The bartender,1712143561649,Russian,no,PB24,2,plausible,undefined,1547,0,The bartender*poured*the customer*a drink.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,5,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,2,poured,1712143561649,Russian,no,PB24,2,plausible,undefined,1076,0,The bartender*poured*the customer*a drink.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,5,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,3,the customer,1712143561649,Russian,no,PB24,2,plausible,undefined,1463,0,The bartender*poured*the customer*a drink.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,5,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,4,a drink.,1712143561649,Russian,no,PB24,2,plausible,undefined,868,0,The bartender*poured*the customer*a drink.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,5,0,experiment,NULL,Scale,Scale,Choice,5,1712143564963,Russian,no,PB24,2,plausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,5,0,experiment,NULL,PennController,4,_Trial_,End,1712143565266,Russian,no,PB24,2,plausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,14,0,experiment,NULL,PennController,13,_Trial_,Start,1712143565268,Russian,no,PB24,11,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,14,0,experiment,NULL,PennController,13,_Header_,Start,1712143565268,Russian,no,PB24,11,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,14,0,experiment,NULL,PennController,13,_Header_,End,1712143565268,Russian,no,PB24,11,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,14,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,1,The grandmother,1712143571940,Russian,no,PB24,11,implausible,undefined,1200,0,The grandmother*baked*some cookies*the grandson.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,14,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,2,baked,1712143571940,Russian,no,PB24,11,implausible,undefined,917,0,The grandmother*baked*some cookies*the grandson.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,14,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,3,some cookies,1712143571940,Russian,no,PB24,11,implausible,undefined,906,0,The grandmother*baked*some cookies*the grandson.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,14,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,4,the grandson.,1712143571940,Russian,no,PB24,11,implausible,undefined,1176,0,The grandmother*baked*some cookies*the grandson.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,14,0,experiment,NULL,Scale,Scale,Choice,5,1712143572901,Russian,no,PB24,11,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,14,0,experiment,NULL,PennController,13,_Trial_,End,1712143573203,Russian,no,PB24,11,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,22,0,experiment,NULL,PennController,21,_Trial_,Start,1712143573205,Russian,no,PB24,19,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,22,0,experiment,NULL,PennController,21,_Header_,Start,1712143573205,Russian,no,PB24,19,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,22,0,experiment,NULL,PennController,21,_Header_,End,1712143573206,Russian,no,PB24,19,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,22,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,1,The church,1712143586397,Russian,no,PB24,19,implausible,undefined,1506,0,The church*built*a shelter*the homeless.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,22,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,2,built,1712143586397,Russian,no,PB24,19,implausible,undefined,1398,0,The church*built*a shelter*the homeless.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,22,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,3,a shelter,1712143586397,Russian,no,PB24,19,implausible,undefined,1127,0,The church*built*a shelter*the homeless.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,22,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,4,the homeless.,1712143586397,Russian,no,PB24,19,implausible,undefined,7326,0,The church*built*a shelter*the homeless.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,22,0,experiment,NULL,Scale,Scale,Choice,2,1712143587688,Russian,no,PB24,19,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,22,0,experiment,NULL,PennController,21,_Trial_,End,1712143587995,Russian,no,PB24,19,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,6,0,experiment,NULL,PennController,5,_Trial_,Start,1712143587997,Russian,no,PB24,3,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,6,0,experiment,NULL,PennController,5,_Header_,Start,1712143587997,Russian,no,PB24,3,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,6,0,experiment,NULL,PennController,5,_Header_,End,1712143587997,Russian,no,PB24,3,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,6,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,1,The woman,1712143594754,Russian,no,PB24,3,implausible,undefined,787,0,The woman*saved*a seat*her husband.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,6,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,2,saved,1712143594754,Russian,no,PB24,3,implausible,undefined,762,0,The woman*saved*a seat*her husband.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,6,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,3,a seat,1712143594754,Russian,no,PB24,3,implausible,undefined,778,0,The woman*saved*a seat*her husband.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,6,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,4,her husband.,1712143594754,Russian,no,PB24,3,implausible,undefined,2642,0,The woman*saved*a seat*her husband.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,6,0,experiment,NULL,Scale,Scale,Choice,2,1712143596956,Russian,no,PB24,3,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,6,0,experiment,NULL,PennController,5,_Trial_,End,1712143597260,Russian,no,PB24,3,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,20,0,experiment,NULL,PennController,19,_Trial_,Start,1712143597262,Russian,no,PB24,17,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,20,0,experiment,NULL,PennController,19,_Header_,Start,1712143597262,Russian,no,PB24,17,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,20,0,experiment,NULL,PennController,19,_Header_,End,1712143597262,Russian,no,PB24,17,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,20,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,1,The travel agent,1712143605089,Russian,no,PB24,17,implausible,undefined,1331,0,The travel agent*reserved*a flight*the businessman.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,20,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,2,reserved,1712143605089,Russian,no,PB24,17,implausible,undefined,996,0,The travel agent*reserved*a flight*the businessman.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,20,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,3,a flight,1712143605089,Russian,no,PB24,17,implausible,undefined,875,0,The travel agent*reserved*a flight*the businessman.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,20,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,4,the businessman.,1712143605089,Russian,no,PB24,17,implausible,undefined,3171,0,The travel agent*reserved*a flight*the businessman.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,20,0,experiment,NULL,Scale,Scale,Choice,2,1712143606756,Russian,no,PB24,17,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,20,0,experiment,NULL,PennController,19,_Trial_,End,1712143607061,Russian,no,PB24,17,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,10,0,experiment,NULL,PennController,9,_Trial_,Start,1712143607063,Russian,no,PB24,7,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,10,0,experiment,NULL,PennController,9,_Header_,Start,1712143607063,Russian,no,PB24,7,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,10,0,experiment,NULL,PennController,9,_Header_,End,1712143607063,Russian,no,PB24,7,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,10,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,1,The wife,1712143612071,Russian,no,PB24,7,implausible,undefined,743,0,The wife*reserved*a table*her husband.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,10,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,2,reserved,1712143612071,Russian,no,PB24,7,implausible,undefined,723,0,The wife*reserved*a table*her husband.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,10,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,3,a table,1712143612071,Russian,no,PB24,7,implausible,undefined,705,0,The wife*reserved*a table*her husband.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,10,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,4,her husband.,1712143612071,Russian,no,PB24,7,implausible,undefined,1506,0,The wife*reserved*a table*her husband.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,10,0,experiment,NULL,Scale,Scale,Choice,2,1712143612990,Russian,no,PB24,7,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,10,0,experiment,NULL,PennController,9,_Trial_,End,1712143613291,Russian,no,PB24,7,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,12,0,experiment,NULL,PennController,11,_Trial_,Start,1712143613293,Russian,no,PB24,9,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,12,0,experiment,NULL,PennController,11,_Header_,Start,1712143613293,Russian,no,PB24,9,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,12,0,experiment,NULL,PennController,11,_Header_,End,1712143613293,Russian,no,PB24,9,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,12,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,1,The charity,1712143623060,Russian,no,PB24,9,implausible,undefined,1124,0,The charity*built*a house*the hurricane victim.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,12,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,2,built,1712143623060,Russian,no,PB24,9,implausible,undefined,1328,0,The charity*built*a house*the hurricane victim.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,12,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,3,a house,1712143623060,Russian,no,PB24,9,implausible,undefined,800,0,The charity*built*a house*the hurricane victim.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,12,0,experiment,NULL,Controller-SelfPacedReadingParadigmSentence,SelfPacedReadingParadigmSentence,4,the hurricane victim.,1712143623060,Russian,no,PB24,9,implausible,undefined,5338,0,The charity*built*a house*the hurricane victim.,Any addtional parameters were appended as additional columns
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,12,0,experiment,NULL,Scale,Scale,Choice,5,1712143626357,Russian,no,PB24,9,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,12,0,experiment,NULL,PennController,11,_Trial_,End,1712143626661,Russian,no,PB24,9,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,8,0,experiment,NULL,PennController,7,_Trial_,Start,1712143626663,Russian,no,PB24,5,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,8,0,experiment,NULL,PennController,7,_Header_,Start,1712143626663,Russian,no,PB24,5,implausible,undefined,NULL,NA,,
1712143745,570260f06ffa49afb7bdc797a92fea1b,PennController,8,0,experiment,NULL,PennController,7,_Header_,End,1712143626663,Russian,no,PB24,5,implausible,undefined,NULL,NA,,
