ID,ITEM,CONDITION,RATING
570260f06ffa49afb7bdc797a92fea1b,2,plausible,5
570260f06ffa49afb7bdc797a92fea1b,11,implausible,5
570260f06ffa49afb7bdc797a92fea1b,19,implausible,2
570260f06ffa49afb7bdc797a92fea1b,3,implausible,2
570260f06ffa49afb7bdc797a92fea1b,17,implausible,2
570260f06ffa49afb7bdc797a92fea1b,7,implausible,2
570260f06ffa49afb7bdc797a92fea1b,9,implausible,5
570260f06ffa49afb7bdc797a92fea1b,5,implausible,3
570260f06ffa49afb7bdc797a92fea1b,6,plausible,5
570260f06ffa49afb7bdc797a92fea1b,4,plausible,5
570260f06ffa49afb7bdc797a92fea1b,20,plausible,1
570260f06ffa49afb7bdc797a92fea1b,12,plausible,5
570260f06ffa49afb7bdc797a92fea1b,1,implausible,2
570260f06ffa49afb7bdc797a92fea1b,8,plausible,5
570260f06ffa49afb7bdc797a92fea1b,13,implausible,4
570260f06ffa49afb7bdc797a92fea1b,16,plausible,5
570260f06ffa49afb7bdc797a92fea1b,18,plausible,5
570260f06ffa49afb7bdc797a92fea1b,15,implausible,1
570260f06ffa49afb7bdc797a92fea1b,10,plausible,1
570260f06ffa49afb7bdc797a92fea1b,14,plausible,5
567e07672879e9cece03bcf4f470767f,16,implausible,2
567e07672879e9cece03bcf4f470767f,14,implausible,2
567e07672879e9cece03bcf4f470767f,19,plausible,3
567e07672879e9cece03bcf4f470767f,15,plausible,4
567e07672879e9cece03bcf4f470767f,4,implausible,2
567e07672879e9cece03bcf4f470767f,13,plausible,3
567e07672879e9cece03bcf4f470767f,10,implausible,2
567e07672879e9cece03bcf4f470767f,11,plausible,2
567e07672879e9cece03bcf4f470767f,8,implausible,2
567e07672879e9cece03bcf4f470767f,17,plausible,3
567e07672879e9cece03bcf4f470767f,9,plausible,4
567e07672879e9cece03bcf4f470767f,18,implausible,3
567e07672879e9cece03bcf4f470767f,12,implausible,2
567e07672879e9cece03bcf4f470767f,3,plausible,4
