ID,ITEM,CONDITION,SENTENCE,RT,IA
570260f06ffa49afb7bdc797a92fea1b,2,plausible,The bartender*poured*the customer*a drink.,1547,1
570260f06ffa49afb7bdc797a92fea1b,2,plausible,The bartender*poured*the customer*a drink.,1076,2
570260f06ffa49afb7bdc797a92fea1b,2,plausible,The bartender*poured*the customer*a drink.,1463,3
570260f06ffa49afb7bdc797a92fea1b,2,plausible,The bartender*poured*the customer*a drink.,868,4
570260f06ffa49afb7bdc797a92fea1b,11,implausible,The grandmother*baked*some cookies*the grandson.,1200,1
570260f06ffa49afb7bdc797a92fea1b,11,implausible,The grandmother*baked*some cookies*the grandson.,917,2
570260f06ffa49afb7bdc797a92fea1b,11,implausible,The grandmother*baked*some cookies*the grandson.,906,3
570260f06ffa49afb7bdc797a92fea1b,11,implausible,The grandmother*baked*some cookies*the grandson.,1176,4
570260f06ffa49afb7bdc797a92fea1b,19,implausible,The church*built*a shelter*the homeless.,1506,1
570260f06ffa49afb7bdc797a92fea1b,19,implausible,The church*built*a shelter*the homeless.,1398,2
570260f06ffa49afb7bdc797a92fea1b,19,implausible,The church*built*a shelter*the homeless.,1127,3
570260f06ffa49afb7bdc797a92fea1b,3,implausible,The woman*saved*a seat*her husband.,787,1
570260f06ffa49afb7bdc797a92fea1b,3,implausible,The woman*saved*a seat*her husband.,762,2
570260f06ffa49afb7bdc797a92fea1b,3,implausible,The woman*saved*a seat*her husband.,778,3
570260f06ffa49afb7bdc797a92fea1b,17,implausible,The travel agent*reserved*a flight*the businessman.,1331,1
570260f06ffa49afb7bdc797a92fea1b,17,implausible,The travel agent*reserved*a flight*the businessman.,996,2
570260f06ffa49afb7bdc797a92fea1b,17,implausible,The travel agent*reserved*a flight*the businessman.,875,3
570260f06ffa49afb7bdc797a92fea1b,7,implausible,The wife*reserved*a table*her husband.,743,1
570260f06ffa49afb7bdc797a92fea1b,7,implausible,The wife*reserved*a table*her husband.,723,2
570260f06ffa49afb7bdc797a92fea1b,7,implausible,The wife*reserved*a table*her husband.,705,3
570260f06ffa49afb7bdc797a92fea1b,7,implausible,The wife*reserved*a table*her husband.,1506,4
